[,latitude,longitude,]
[,39.48948,-87.40054,]
[,32.73412,-96.62196,]
[,44.28947,-88.26027,]
[,36.23097346,-86.51487125,]
[,33.43895,-88.82153,]
[,40.31523439,-79.61884341,]
[,34.12785,-94.01663,]
[,43.09797,-93.80171,]
[,41.63102,-75.47735,]
[,38.46078,-81.0862,]
[,35.42411,-85.72016,]
[,35.07191,-86.2704,]
[,30.48936,-99.77203,]
[,27.99864,-80.63483,]
[,40.48057,-82.55643,]
[,43.20705,-78.39479,]
[,40.95081,-80.65898,]
[,29.76776,-95.23248,]
[,42.90788,-87.86417,]
[,39.28112,-80.35136,]
[,34.12769,-87.98984,]
[,32.98695,-84.57365,]
[,29.77314,-94.67418,]
[,36.28499,-88.30885,]
[,32.03261,-84.39371,]
[,36.39269,-84.09473,]
[,27.52688,-97.85609,]
[,31.96318,-83.76499,]
[,43.26392,-93.63702,]
[,34.2648,-85.17844,]
[,30.48227348,-92.85009403,]
[,33.15358,-99.73287,]
[,40.57068,-85.67593,]
[,28.86389,-81.68639,]
[,35.21335,-78.06143,]
[,35.48043,-98.35353,]
[,36.2598488,-89.1900136,]
[,35.94248,-95.88453,]
[,37.73825,-88.94792,]
[,35.10722,-98.60336,]
[,40.81206,-85.83512,]
[,39.56012,-89.30683,]
[,38.88176,-94.78891,]
[,41.08725,-85.08788,]
[,39.62035,-82.94022,]
[,32.16516,-81.90398,]
[,36.53112,-82.53008,]
[,31.13477,-83.43295,]
[,29.10139,-97.28619,]
[,38.89607,-98.85615,]
[,36.3259,-95.84814,]
[,37.727,-89.18516,]
[,41.53131841,-87.63586872,]
[,41.61967,-90.33488,]
[,35.57661,-90.72352,]
[,33.16561,-94.96976,]
[,28.30196,-81.41616,]
[,34.37594,-89.51286,]
[,30.04744,-90.69106,]
[,42.73607,-77.88023,]
[,40.86151,-79.8952,]
[,35.45934,-79.05362,]
[,34.22115,-79.25825,]
[,34.70167,-82.21928,]
[,34.03601,-85.24303,]
[,37.34582,-87.49809,]
[,37.7471,-88.54032,]
[,36.92412,-89.35014,]
[,35.41114,-99.40494,]
[,36.88827,-94.87751,]
[,40.8343,-80.53991,]
[,41.7245,-94.937,]
[,41.65246,-83.70365,]
[,30.41859,-87.6833,]
[,40.79112,-89.36327,]
[,36.93429,-94.86729,]
[,41.06411,-74.0127,]
[,34.00401,-96.40781,]
[,36.32493,-82.36161,]
[,35.58191,-97.63844,]
[,31.34556,-109.53235,]
[,40.30037,-90.06503,]
[,39.19833,-83.48434,]
[,39.63247,-86.15842,]
[,45.06077,-83.43135,]
[,43.98941,-84.48584,]
[,29.07845,-98.08881,]
[,39.25674,-87.38879,]
[,45.38963,-84.91688,]
[,30.43192,-84.97532,]
[,40.61083,-81.53498,]
[,35.14298,-76.83238,]
[,29.666597,-82.31163202,]
[,36.58026,-82.49705,]
[,36.74968,-82.42035,]
[,39.61097,-75.94796,]
[,44.74298,-85.17626,]
[,31.40259,-81.41839,]
[,39.92786,-83.14405,]
[,32.13125,-96.24287,]
[,41.3584,-83.13673,]
[,33.88644,-83.12803,]
[,35.65268,-88.82587,]
[,37.78084,-86.45157,]
[,44.34992,-93.9534,]
[,35.95837,-86.51927,]
[,30.17474,-81.604,]
[,35.9747,-80.22504,]
[,44.4998709,-88.3252693,]
[,40.75923,-82.55875,]
[,37.92985,-90.77681,]
[,31.78247,-106.28597,]
[,39.87074,-85.95872,]
